,arrival_date,RV0,RV1,RV2,RV3,RV4,RV5,RV6,RV7,RV8,RV9,RV10,RV11,RV12,RV13,RV14,RV15,RV16,RV17,RV18,RV19,RV20,RV21,RV22,RV23,RV24,RV25,RV26,RV27,RV28,RV29,RV30,RV31,RV32,RV33,RV34,RV35,RV36,RV37,RV38,RV39,RV40,RV41,RV42,RV43,RV44,RV45,RV46,RV47,RV48,RV49,RV50,RV51,RV52,RV53,RV54,RV55,RV56,RV57,RV58,RV59,RV60,RV61,RV62,RV63,RV64,RV65,RV66,RV67,RV68,RV69,RV70,RV71,RV72,RV73,RV74,RV75,RV76,RV77,RV78,RV79,RV80,RV81,RV82,RV83,RV84,RV85,RV86,RV87,RV88,RV89,RV90,RV91,RV92,RV93,RV94,RV95,RV96,RV97,RV98,RV99,RV100
10,2015-07-11,4106.389999999999,3554.49,3554.49,3554.49,3554.49,3554.49,3554.49,3554.49,3554.49,3423.49,3423.49,3423.49,3423.49,3423.49,3423.49,3423.49,3423.49,3300.49,3300.49,3300.49,3300.49,3300.49,3300.49,3300.49,3300.49,3300.49,3300.49,3300.49,3300.49,3300.49,3300.49,3300.49,3300.49,3122.49,2657.2299999999996,2657.2299999999996,2657.2299999999996,2552.5499999999997,2552.5499999999997,2552.5499999999997,2552.5499999999997,2386.5499999999997,2386.5499999999997,2386.5499999999997,2386.5499999999997,2265.95,2265.95,2265.95,2265.95,2265.95,2265.95,2265.95,2265.95,2265.95,2265.95,2142.95,2142.95,2142.95,2142.95,2142.95,2142.95,2142.95,2142.95,2142.95,2142.95,2142.95,2142.95,2142.95,2142.95,2142.95,2142.95,2043.45,1977.95,1977.95,1977.95,1977.95,1977.95,1977.95,1977.95,1977.95,1550.45,1550.45,1550.45,1550.45,1550.45,1450.45,1450.45,1450.45,1450.45,1450.45,1450.45,1450.45,1450.45,1450.45,1450.45,1450.45,1450.45,1450.45,1450.45,1450.45,1450.45
11,2015-07-12,5185.43,5185.43,4902.63,4804.63,4804.63,4804.63,4804.63,4681.63,4681.63,4120.63,4002.73,4002.73,4002.73,3722.14,3633.94,3633.94,3633.94,3633.94,3633.94,3633.94,3633.94,3633.94,3633.94,3633.94,3633.94,3633.94,3633.94,3633.94,3633.94,3633.94,3633.94,3633.94,3387.94,3387.94,3387.94,2583.34,2583.34,2583.34,2583.34,2583.34,2583.34,2492.63,2492.63,2492.63,2492.63,2492.63,2492.63,2492.63,2492.63,2246.63,2246.63,2123.63,2123.63,2123.63,1817.63,1817.63,1817.63,1817.63,1817.63,1817.63,1436.2,1329.2,1329.2,1329.2,1329.2,1203.98,1203.98,1203.98,1203.98,1203.98,1203.98,1203.98,1203.98,1203.98,1203.98,1203.98,1203.98,1203.98,1203.98,1203.98,1203.98,1203.98,1125.14,1125.14,1125.14,1125.14,1125.14,1125.14,1125.14,1045.64,1045.64,811.2,811.2,811.2,811.2,811.2,811.2,811.2,720.25,720.25,720.25
12,2015-07-13,5087.29,4555.39,4555.39,4437.490000000001,4437.490000000001,4437.490000000001,4437.490000000001,4437.490000000001,4437.490000000001,4437.490000000001,4276.490000000001,4276.490000000001,4276.490000000001,4276.490000000001,4276.490000000001,4276.490000000001,4276.490000000001,4176.290000000001,4176.290000000001,4176.290000000001,4176.290000000001,4176.290000000001,4176.290000000001,4176.290000000001,4176.290000000001,4176.290000000001,4176.290000000001,4176.290000000001,4176.290000000001,4176.290000000001,4176.290000000001,4176.290000000001,4176.290000000001,4023.2900000000004,4023.2900000000004,4023.2900000000004,4023.2900000000004,4023.2900000000004,4023.2900000000004,3903.2900000000004,3903.2900000000004,3663.2900000000004,3580.2000000000003,3470.2000000000003,3470.2000000000003,3470.2000000000003,3470.2000000000003,3470.2000000000003,3294.4900000000002,3294.4900000000002,3294.4900000000002,3294.4900000000002,3164.4900000000002,3164.4900000000002,3164.4900000000002,2988.09,2988.09,2853.84,2853.84,2688.84,2688.84,2688.84,2688.84,2624.84,2624.84,2624.84,2624.84,2624.84,2624.84,2624.84,2624.84,2624.84,2624.84,2526.34,2526.34,2526.34,2526.34,2526.34,2526.34,2526.34,2526.34,2526.34,2345.1200000000003,2345.1200000000003,2345.1200000000003,2345.1200000000003,2345.1200000000003,2345.1200000000003,2345.1200000000003,2248.82,2248.82,2248.82,2147.96,2147.96,2147.96,2147.96,2147.96,2147.96,2147.96,1983.9600000000003,1983.9600000000003
13,2015-07-14,3162.75,2917.6,2629.6,2629.6,2629.6,2629.6,2629.6,2449.6,2311.6,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,1789.23,1789.23,1789.23,1789.23,1789.23,1789.23,1789.23,1789.23,1789.23,1789.23,1789.23,1653.03,1653.03,1653.03,1653.03,1653.03,1653.03,1653.03,1653.03,1653.03,1653.03,1480.32,1480.32,1480.32,1480.32,1480.32,1480.32,1480.32,1406.9099999999999,1406.9099999999999,1406.9099999999999,1406.9099999999999,1406.9099999999999,1406.9099999999999,1406.9099999999999,1118.4099999999999,1118.4099999999999,1118.4099999999999,1016.6099999999999,1016.6099999999999,1016.6099999999999,1016.6099999999999,1016.6099999999999,1016.6099999999999,1016.6099999999999,1016.6099999999999,1016.6099999999999,1016.6099999999999,1016.6099999999999,1016.6099999999999,1016.6099999999999,1016.6099999999999,1016.6099999999999,1016.6099999999999,1016.6099999999999,1016.6099999999999,1016.6099999999999,1016.6099999999999,1016.6099999999999,1016.6099999999999,1016.6099999999999,909.6099999999999
14,2015-07-15,4359.73,4205.73,3697.7299999999996,3566.7299999999996,3566.7299999999996,3566.7299999999996,3447.4799999999996,3447.4799999999996,3447.4799999999996,3447.4799999999996,3447.4799999999996,3447.4799999999996,3447.4799999999996,3447.4799999999996,3447.4799999999996,3447.4799999999996,3447.4799999999996,3340.9799999999996,3340.9799999999996,3340.9799999999996,3340.9799999999996,3340.9799999999996,3340.9799999999996,3340.9799999999996,3340.9799999999996,3340.9799999999996,3340.9799999999996,3340.9799999999996,3340.9799999999996,3340.9799999999996,3340.9799999999996,3340.9799999999996,3340.9799999999996,3340.9799999999996,3340.9799999999996,3340.9799999999996,3340.9799999999996,3134.7599999999998,2595.6,2595.6,2595.6,2595.6,2595.6,2595.6,2595.6,2595.6,2595.6,2595.6,2595.6,2595.6,2595.6,2595.6,2595.6,2595.6,2595.6,2595.6,2595.6,2595.6,629.64,629.64,629.64,629.64,629.64,523.14,523.14,523.14,380.66,380.66,380.66,380.66,380.66,380.66,380.66,380.66,380.66,380.66,380.66,380.66,380.66,380.66,380.66,380.66,380.66,380.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2015-07-16,5600.209999999999,4828.929999999999,4828.929999999999,4681.259999999999,4681.259999999999,4681.259999999999,4681.259999999999,4578.61,4240.61,4240.61,4240.61,3622.21,3622.21,3622.21,3366.01,3366.01,3366.01,3366.01,3087.26,3087.26,2965.9300000000003,2965.9300000000003,2805.9300000000003,2645.9300000000003,2645.9300000000003,2645.9300000000003,2645.9300000000003,2645.9300000000003,2511.4300000000003,2511.4300000000003,2511.4300000000003,2511.4300000000003,2511.4300000000003,2511.4300000000003,2511.4300000000003,2511.4300000000003,2033.0900000000001,2033.0900000000001,2033.0900000000001,2033.0900000000001,2033.0900000000001,2033.0900000000001,1898.0900000000001,1898.0900000000001,1898.0900000000001,1898.0900000000001,1898.0900000000001,1898.0900000000001,1898.0900000000001,1898.0900000000001,1898.0900000000001,1774.89,1774.89,1774.89,1774.89,1774.89,1774.89,1774.89,1774.89,1774.89,1627.89,1627.89,1627.89,1627.89,1552.45,1552.45,1552.45,1448.95,1448.95,1318.95,1318.95,1318.95,1318.95,1318.95,1318.95,1318.95,1318.95,1318.95,1318.95,1318.95,1318.95,1318.95,1318.95,1318.95,1318.95,1318.95,1318.95,1318.95,1318.95,1318.95,1318.95,1131.75,1131.75,1131.75,1131.75,1016.25,1016.25,1016.25,1016.25,857.25,857.25
16,2015-07-17,7209.430000000001,6763.930000000001,6330.430000000001,6218.430000000001,5695.000000000001,5695.000000000001,5695.000000000001,5566.7300000000005,5439.4800000000005,5313.18,5149.18,5149.18,4993.68,4993.68,4867.38,4867.38,4746.78,4746.78,4582.78,4582.78,4582.78,4582.78,4582.78,4582.78,4192.78,3638.7799999999997,3298.8799999999997,3298.8799999999997,3298.8799999999997,3298.8799999999997,3167.68,3167.68,3167.68,3167.68,3167.68,3167.68,3167.68,3167.68,3167.68,2840.68,2840.68,2840.68,2840.68,2840.68,2748.68,2748.68,2748.68,2748.68,2748.68,2625.68,2625.68,2625.68,2625.68,2625.68,1938.9299999999998,1938.9299999999998,1938.9299999999998,1938.9299999999998,1938.9299999999998,1938.9299999999998,1938.9299999999998,1938.9299999999998,1938.9299999999998,1938.9299999999998,1938.9299999999998,1769.33,1455.33,1455.33,1455.33,1455.33,1455.33,1455.33,1455.33,1455.33,1455.33,1455.33,1455.33,1455.33,1455.33,1455.33,1310.33,1310.33,1310.33,1310.33,1310.33,1310.33,1310.33,1310.33,1310.33,1310.33,1310.33,1045.73,808.73,705.23,705.23,601.73,601.73,601.73,601.73,601.73,391.73
17,2015-07-18,5207.17,4709.17,4345.17,4345.17,4250.17,4063.6699999999996,4063.6699999999996,4063.6699999999996,4063.6699999999996,4063.6699999999996,4063.6699999999996,4063.6699999999996,4063.6699999999996,4063.6699999999996,4063.6699999999996,4063.6699999999996,4063.6699999999996,4063.6699999999996,4063.6699999999996,4063.6699999999996,3915.9999999999995,3915.9999999999995,3915.9999999999995,3915.9999999999995,3915.9999999999995,3915.9999999999995,3770.9999999999995,3638.3999999999996,3638.3999999999996,3540.3799999999997,3299.18,3299.18,3299.18,3299.18,3299.18,3299.18,3299.18,3299.18,3299.18,3299.18,3299.18,3299.18,3299.18,3299.18,3299.18,2862.18,2695.18,2695.18,2695.18,2695.18,2695.18,2695.18,2695.18,2695.18,2695.18,2695.18,2695.18,2695.18,2155.18,2155.18,2022.6799999999998,2022.6799999999998,2022.6799999999998,2022.6799999999998,2022.6799999999998,1628.4299999999998,1628.4299999999998,1628.4299999999998,1628.4299999999998,1628.4299999999998,1628.4299999999998,1628.4299999999998,1628.4299999999998,1628.4299999999998,1386.9299999999998,1386.9299999999998,1386.9299999999998,1386.9299999999998,1386.9299999999998,1386.9299999999998,1386.9299999999998,1386.9299999999998,1386.9299999999998,1386.9299999999998,1386.9299999999998,1386.9299999999998,1386.9299999999998,1386.9299999999998,1262.4299999999998,1262.4299999999998,1262.4299999999998,1262.4299999999998,1262.4299999999998,1262.4299999999998,1117.4299999999998,887.43,733.6999999999999,637.4,637.4,637.4,637.4
18,2015-07-19,4537.44,3768.56,3676.46,3676.46,3676.46,3521.96,3521.96,3386.96,3386.96,3386.96,3386.96,3386.96,3386.96,3386.96,3386.96,3386.96,3386.96,3386.96,3386.96,3386.96,3266.36,3266.36,3266.36,3266.36,3266.36,3266.36,3065.31,3065.31,3065.31,3065.31,2930.11,2807.11,2807.11,2684.11,2684.11,2567.26,2567.26,2567.26,1979.4600000000003,1979.4600000000003,1979.4600000000003,1979.4600000000003,1624.7200000000003,1624.7200000000003,1624.7200000000003,1440.7200000000003,1356.6000000000001,1356.6000000000001,1227.44,1227.44,1227.44,1227.44,1227.44,1227.44,1227.44,1227.44,1227.44,1227.44,1227.44,1227.44,1227.44,1227.44,1227.44,1227.44,1227.44,1227.44,1227.44,1112.44,1112.44,1112.44,1112.44,1112.44,952.44,952.44,952.44,952.44,952.44,952.44,952.44,952.44,952.44,952.44,952.44,952.44,952.44,952.44,952.44,952.44,952.44,952.44,952.44,952.44,952.44,952.44,952.44,807.44,807.44,687.74,687.74,687.74,687.74
19,2015-07-20,6980.510000000001,6827.510000000001,6827.510000000001,6827.510000000001,6827.510000000001,6827.510000000001,6827.510000000001,6651.510000000001,6651.510000000001,6651.510000000001,6651.510000000001,6487.510000000001,6487.510000000001,6487.510000000001,6487.510000000001,6364.510000000001,6364.510000000001,6364.510000000001,6364.510000000001,6364.510000000001,6364.510000000001,6364.510000000001,6364.510000000001,6364.510000000001,6364.510000000001,6364.510000000001,6364.510000000001,6170.510000000001,6170.510000000001,5978.010000000001,5978.010000000001,5978.010000000001,5978.010000000001,5978.010000000001,5641.410000000001,5641.410000000001,5641.410000000001,5641.410000000001,5641.410000000001,5641.410000000001,5112.660000000001,5112.660000000001,5008.660000000001,4247.6,4247.6,4131.75,4131.75,3890.65,3890.65,3673.2000000000003,3673.2000000000003,3673.2000000000003,3521.2000000000003,3045.6000000000004,3045.6000000000004,3045.6000000000004,2725.7400000000002,2613.2400000000002,2613.2400000000002,2613.2400000000002,2492.8100000000004,2492.8100000000004,2492.8100000000004,2158.8100000000004,1928.8100000000002,1928.8100000000002,1593.8100000000002,1593.8100000000002,1338.38,1099.88,1099.88,1099.88,1099.88,1099.88,1099.88,1099.88,1099.88,1099.88,1099.88,1099.88,984.8800000000001,984.8800000000001,984.8800000000001,832.45,832.45,832.45,832.45,832.45,832.45,832.45,711.44,711.44,711.44,711.44,711.44,711.44,711.44,554.44,554.44,318.1,318.1
